,port_rets,port_vols,weights,sharpe_ratio
1429,7.15,12.56,[13.86544227 22.11200426 33.30261012  7.40730532 23.31263802],0.57
1430,6.73,10.24,[14.54668583  6.52596847 16.53816058 29.98354908 32.40563605],0.66
1431,6.47,9.63,[27.4049774   8.71464866 11.09766259 33.68908503 19.09362633],0.67
1432,6.95,11.65,[ 7.46277643 30.52590281  5.23616986 34.35187716 22.42327375],0.6
1433,6.19,8.04,[17.86854824 20.94917338  0.7663274  25.43368467 34.98226631],0.77
1434,7.81,15.36,[ 5.4880955   6.60205845 40.81390758 27.31787767 19.77806079],0.51
1435,6.33,8.97,[27.20525377 13.70500217  9.71410984 26.94958069 22.42605353],0.71
1436,5.9,7.29,[29.53293993 29.83815457  5.5712036   6.82127809 28.23642381],0.81
1437,7.3,13.07,[ 6.41585659 26.37762793 26.12742291 17.26198162 23.81711096],0.56
1438,6.08,8.21,[35.28947619 22.81938118 18.32721346  1.75250374 21.81142543],0.74
1439,7.17,12.87,[12.97202019 29.70873499 19.08500665 24.32073337 13.9135048 ],0.56
1440,6.59,9.96,[ 9.61832356 40.35749176 13.87231309  1.27942032 34.87245127],0.66
1441,7.48,13.7,[ 3.82524895 16.40085437 43.71777678  2.58470434 33.47141556],0.55
1442,6.86,11.08,[ 9.83185956 27.93447566 13.69840083 21.02037872 27.51488523],0.62
1443,7.79,16.12,[ 8.21920688 43.79602646 32.56570427 13.29257291  2.12648948],0.48
1444,6.67,10.87,[31.20610957 13.34617535 20.57735289 25.00711471  9.86324748],0.61
1445,6.42,9.82,[25.77965668 29.92205011  2.38403134 28.89949491 13.01476696],0.65
1446,6.64,9.98,[10.47465658 29.7451397  14.99440954  9.8031147  34.98267948],0.67
1447,7.09,12.33,[20.65988527  0.10842662 43.09539206  9.88428647 26.25200959],0.58
1448,7.49,14.57,[17.6400558  20.30306036 41.81989324 10.32735149  9.90963912],0.51
1449,6.36,9.16,[29.89471546  7.12344256 13.87214773 28.06507949 21.04461476],0.7
1450,7.71,14.96,[ 1.6066492  23.93406624 29.69973698 26.27734418 18.4822034 ],0.52
1451,6.47,9.0,[17.10451889  6.87031326 18.73840406 18.11674251 39.17002128],0.72
1452,6.22,8.81,[36.92071021 14.25132949 17.25660861 15.6585261  15.91282559],0.71
1453,6.73,11.06,[26.41996368 22.33613861 24.0484384  12.75638944 14.43906987],0.61
1454,6.53,9.69,[16.21948267 22.43155599  4.19107294 30.6705177  26.48737071],0.67
1455,6.46,9.83,[26.38524308 27.84132159 11.83339167 17.50242433 16.43761934],0.66
1456,6.04,7.45,[21.78403198 21.15769646  1.63756443 20.35779189 35.06291524],0.81
1457,6.57,10.18,[22.77935382 28.47450118 16.41033558 12.14157243 20.19423699],0.64
1458,7.38,13.34,[ 5.60518152 12.49725013 18.04296284 42.60650569 21.24809983],0.55
1459,6.35,8.85,[26.40235738  5.17998978 15.0799645  25.27154811 28.06614024],0.72
1460,7.09,12.09,[ 6.81023819 26.66382792 16.50570568 24.58324041 25.4369878 ],0.59
1461,7.27,12.84,[ 6.13361052 22.14263235 38.28251177  0.36017685 33.0810685 ],0.57
1462,6.34,9.51,[28.86696583 30.56470168  6.02929924 21.55345268 12.98558058],0.67
1463,6.6,10.47,[29.36351972 14.76086779 14.64560356 29.54522756 11.68478138],0.63
1464,6.02,8.1,[41.36452824 15.99548793 16.2018948  11.2326574  15.20543162],0.74
1465,6.8,11.77,[29.71248621 29.0125534  21.29760278 16.4252944   3.55206321],0.58
1466,6.82,11.43,[25.74159232 19.06437389 25.82156983 15.38511844 13.98734551],0.6
1467,7.41,13.72,[ 9.22739342 20.85824017 26.31487352 26.57284362 17.02664927],0.54
1468,7.12,12.7,[19.6454927  18.48577976 40.0511356   1.67035593 20.14723601],0.56
1469,6.09,7.66,[26.03348332  5.0931576   4.67865032 31.75499818 32.43971058],0.8
1470,5.89,6.86,[30.44372911  1.67615475  3.52577541 30.97971169 33.37462904],0.86
1471,6.76,10.85,[13.07713386 35.40382729 19.87822571  3.87034281 27.77047032],0.62
1472,5.64,6.11,[31.48649694 25.58316122  0.58811327  9.15490766 33.18732091],0.92
1473,7.9,16.45,[16.56919591  3.16514969 49.19552128 26.16948996  4.90064315],0.48
1474,7.23,12.88,[ 9.00755555 29.26161449 33.346836    2.55425306 25.82974089],0.56
1475,7.87,16.13,[11.91383821 12.66406669 43.98887975 23.50401424  7.92920112],0.49
1476,7.06,12.47,[15.25116438 35.10293444 28.56526867  2.72376591 18.35686661],0.57
1477,6.1,8.02,[33.65658553  8.65372976 25.01568651  1.90216671 30.77183149],0.76
1478,6.62,11.1,[36.08991936 26.52937585 21.08077018 15.1221525   1.17778211],0.6
1479,7.34,13.15,[ 0.18017561 20.11030038  7.10509091 49.59552053 23.00891257],0.56
1480,6.31,9.52,[38.67665461 14.40145591  9.121186   32.5203214   5.28038208],0.66
1481,6.33,9.85,[42.56542406 22.64453848 23.14227637  7.47437758  4.17338351],0.64
1482,6.71,10.36,[14.20009614 17.91314464 10.69027593 29.71094281 27.48554048],0.65
1483,6.69,10.91,[32.93610115  2.11181937 36.83160033  9.76421053 18.35626862],0.61
1484,6.6,10.27,[29.51687906  4.63808168 29.63452207 14.01802746 22.19248973],0.64
1485,6.9,11.66,[18.99375517 24.99304171 16.8397566  24.34534553 14.82810099],0.59
1486,5.79,6.83,[40.39327902 11.87746529 12.19157792 11.33751822 24.20015954],0.85
1487,6.51,10.31,[26.42061576 36.54473923 12.75478718 11.63745767 12.64240016],0.63
1488,7.1,12.92,[19.4942271  33.61055092 22.77279141 16.63501265  7.48741792],0.55
1489,6.94,11.84,[18.22467161 26.20769822 20.09633335 19.58328743 15.8880094 ],0.59
1490,8.06,17.18,[11.25563689 17.36253859 49.46140089 18.20359857  3.71682506],0.47
1491,6.4,9.18,[20.83170558 18.27082836  4.42307601 31.07960554 25.3947845 ],0.7
1492,7.0,11.94,[22.68137975  1.74048735 34.74359228 19.32133731 21.51320331],0.59
1493,7.84,16.13,[ 8.72324741 31.60811834 43.21351204  7.92806327  8.52705894],0.49
1494,6.56,9.81,[21.95375371 12.00973669 13.88516108 27.41520143 24.73614708],0.67
1495,6.39,9.74,[39.36995792  1.6156042  14.95090268 36.19220297  7.87133224],0.66
1496,6.26,8.64,[27.45388138  7.31720674  5.09782858 36.44029362 23.69078969],0.72
1497,7.68,15.27,[ 9.13565837 19.85633231 22.4673855  43.41108627  5.12953755],0.5
1498,7.02,11.78,[ 9.17649961 26.95202922 21.09441489 15.70975306 27.06730322],0.6
1499,6.53,9.96,[21.00670851 30.95548864 13.44711989 12.48668061 22.10400235],0.66
1500,6.13,7.41,[18.52224312  8.31013729  8.59207435 20.65101254 43.92453269],0.83
1501,6.81,11.02,[19.23801705 13.84245371 16.60206841 29.87526465 20.44219618],0.62
1502,6.49,9.43,[12.09546208 25.95708161  0.33264501 30.52189268 31.09291862],0.69
1503,6.57,9.94,[24.56805252 10.76180473 23.91388855 14.76720571 25.98904849],0.66
1504,6.63,10.08,[16.54798365 23.97208001 15.33707173 16.11070833 28.03215627],0.66
1505,6.18,8.03,[25.0466177  13.42388306 12.15583216 16.64578034 32.72788674],0.77
1506,7.09,12.15,[ 5.46473724 32.34522836 14.32013425 22.96543779 24.90446235],0.58
1507,6.86,11.87,[26.3964455  25.07233984 15.71846437 28.28103844  4.53171185],0.58
1508,6.66,10.69,[31.73545693  2.39520212 22.42830774 30.10448294 13.33655027],0.62
1509,7.48,14.09,[11.48875845  9.29110878 25.86656381 39.70425976 13.64930919],0.53
1510,6.83,10.8,[17.36660056  3.69327638 28.0141164  19.41268227 31.5133244 ],0.63
1511,7.35,12.97,[ 1.45528948 14.49127059 18.19621341 37.66819275 28.18903377],0.57
1512,6.86,11.3,[18.00112683 21.86049686 18.7048427  21.69265379 19.74087982],0.61
1513,7.6,15.07,[19.42542814  9.29586967 38.78705888 28.05864628  4.43299702],0.5
1514,6.8,11.09,[25.91553119  4.37298088 25.99251777 25.1598754  18.55909476],0.61
1515,6.96,11.86,[11.67251963 32.31156129 10.63924372 27.21235879 18.16431657],0.59
1516,7.56,15.3,[15.68666264 42.80073591 35.53756123  4.96694424  1.00809597],0.49
1517,5.57,5.57,[34.79213161 10.32399529  4.78266885 13.04272884 37.05847541],1.0
1518,7.09,12.12,[11.71665848 18.0049864  24.22718865 21.50232355 24.54884291],0.59
1519,7.09,12.08,[13.6410438  10.52585822 25.48397997 25.95530879 24.39380922],0.59
1520,7.4,13.9,[15.78374315 11.54310555 25.91380549 37.08582529  9.67352051],0.53
1521,7.45,13.41,[ 3.73070019 11.59565197 36.85322444 15.50956362 32.31085977],0.56
1522,6.75,10.85,[22.40000762 13.23593682 16.29963403 30.04704159 18.01737994],0.62
1523,7.45,14.03,[15.07956537  8.96548418 34.00802873 27.93226915 14.01465258],0.53
1524,7.3,13.15,[ 8.35372511 24.14863594 26.29034089 19.75311292 21.45418515],0.56
1525,7.92,16.45,[ 5.47156969 34.96347714 44.6687923   4.42647561 10.46968525],0.48
1526,6.87,10.96,[14.99874955 10.77408703 30.08680766 10.98992486 33.15043091],0.63
1527,5.75,6.76,[42.34843349 14.61962582 16.81026198  1.48637993 24.73529878],0.85
1528,6.51,9.89,[24.0804864  18.44145916  7.74317326 31.61940075 18.11548043],0.66
1529,7.49,14.45,[17.18316315 15.15688829 34.36919316 25.37176785  7.91898755],0.52
1530,6.27,8.27,[19.43628094 15.33966821 22.1967011   0.27355455 42.7537952 ],0.76
1531,8.03,17.38,[21.48871637  0.47545445 61.10527843 16.71640014  0.21415061],0.46
1532,6.33,8.47,[21.51043228  5.39601136 17.68760617 17.7803375  37.62561269],0.75
1533,7.17,13.18,[23.16299117 22.53393483 29.7498175  18.13794745  6.41530905],0.54
1534,7.24,13.37,[25.25256168  0.20636668 30.23961666 37.65324486  6.64821012],0.54
1535,7.73,15.85,[13.55187624 33.62950945 38.62554078 11.9781796   2.21489393],0.49
1536,6.91,11.68,[24.41047748  8.26234482 37.33883078  8.18876165 21.79958527],0.59
1537,7.02,12.32,[27.6781334   0.62054926 30.63286979 29.88205611 11.18639144],0.57
1538,6.74,10.74,[19.39847282 22.02721115 26.3625357   6.11937597 26.09240437],0.63
1539,6.15,8.06,[22.65056043 17.49252547  0.70362211 29.30010639 29.85318561],0.76
1540,7.85,15.84,[10.52297694  2.2815604  57.20425945  9.11218593 20.87901727],0.5
1541,7.42,13.46,[ 6.19250244 14.40900117 33.63612475 18.81027091 26.95210073],0.55
1542,7.39,14.3,[18.07554956 32.67297821 32.30502718 12.42765364  4.51879141],0.52
1543,7.0,12.56,[21.21286056 38.32955544 24.45317419  7.58814338  8.41626643],0.56
1544,7.53,14.5,[ 7.02490505 33.36333371 22.17563597 26.85237047 10.5837548 ],0.52
1545,7.44,14.24,[15.81597953 18.89803717 25.05691538 34.47492735  5.75414057],0.52
1546,7.75,16.21,[ 1.07785714 65.63372743 20.46138343 10.87480765  1.95222436],0.48
1547,7.11,13.27,[27.19789807 31.79720864 30.94138367  9.33928676  0.72422285],0.54
1548,6.85,11.27,[20.67704022 14.99055166 21.60831986 23.40408443 19.32000382],0.61
1549,7.24,12.95,[ 8.28970201 30.48595124 32.95963395  2.47551789 25.78919491],0.56
1550,6.34,9.23,[28.54006823 24.6788214  19.13177866  5.35207631 22.2972554 ],0.69
1551,7.34,13.07,[ 2.22048683 26.69548023 32.74923702  6.15224981 32.18254611],0.56
1552,6.65,10.72,[26.64713347 26.64998566 26.7041165   2.35535405 17.64341032],0.62
1553,7.51,14.22,[ 7.74136555 25.59658356 31.71458886 17.59717719 17.35028484],0.53
1554,6.29,8.76,[30.75024147  4.07302395 27.68249552  6.71601463 30.77822443],0.72
1555,6.3,8.62,[26.43709985 11.19414401 19.24691116 12.34584306 30.77600193],0.73
1556,5.77,6.71,[37.66692073 18.02076605 14.00324742  1.73022715 28.57883865],0.86
1557,6.93,11.72,[19.96273487 17.76165755 21.78496508 23.759894   16.73074851],0.59
1558,6.77,10.57,[17.94571958  6.35815341 29.90005178 12.67704254 33.11903269],0.64
1559,7.29,13.28,[10.54897862 26.51924083 21.94405182 25.36552568 15.62220306],0.55
1560,7.03,12.09,[16.9709459  21.98789545 27.60763056 13.48036618 19.95316192],0.58
1561,6.55,10.12,[21.21720835 29.84035267 10.98640678 18.23926347 19.71676873],0.65
1562,5.97,7.29,[31.409505    1.33320828  3.75470364 34.14441039 29.35817269],0.82
1563,6.94,10.95,[ 9.55131025  1.09185544 21.93318369 30.60496756 36.81868307],0.63
1564,6.13,7.44,[19.74337829  4.62375902  8.91977096 23.59947585 43.11361588],0.82
1565,6.91,12.26,[28.52486765 28.64494536 26.91390739 11.48663182  4.42964778],0.56
1566,8.11,17.57,[ 4.00893762 42.5980817  43.4118383   7.15217213  2.82897025],0.46
1567,5.84,7.24,[37.98826133 19.82615364  0.89166344 23.49846926 17.79545232],0.81
1568,5.68,6.67,[47.56629618 12.88748065 14.27829693  7.05600128 18.21192496],0.85
1569,6.49,9.71,[26.25414072 17.34355766 19.30578371 14.78620329 22.31031463],0.67
1570,7.28,13.25,[17.47932514 10.0908107  38.96494501 14.28024098 19.18467817],0.55
1571,7.43,14.58,[19.20258368 34.05442904 34.13193019 10.45107233  2.15998476],0.51
1572,7.37,13.8,[ 9.63124954 32.56924586 23.10972569 21.73530703 12.95447187],0.53
1573,7.09,11.75,[ 4.67431352 13.48441382 16.38718231 33.39028554 32.0638048 ],0.6
1574,6.8,11.59,[26.70158604 29.69986154 25.18897003  8.20488125 10.20470114],0.59
1575,6.81,11.2,[17.06749957 30.52172901 16.97993979 15.74651237 19.68431927],0.61
1576,5.98,7.35,[28.1038235  18.67548448  5.59503144 17.21447648 30.4111841 ],0.81
1577,7.26,13.16,[18.73603876  5.72337023 32.02599942 28.18843418 15.32615742],0.55
1578,8.19,17.85,[12.05528995  8.87749308 62.58770695  9.32164591  7.15786411],0.46
1579,6.28,8.18,[ 5.38023423 34.19229948  1.33660793 11.64203211 47.44882624],0.77
1580,6.08,8.12,[36.45857035  8.95965992  8.14830906 28.46905081 17.96440986],0.75
1581,6.31,8.79,[25.14514136 20.17340941 21.1805621   2.43509776 31.06578937],0.72
1582,6.24,8.75,[25.79502604 26.96556634  5.60137005 19.59444185 22.04359571],0.71
1583,7.67,15.19,[10.55636997 12.93698717 20.65067808 51.43753984  4.41842494],0.5
1584,7.97,16.68,[ 5.00390573 31.11163335 34.13184766 25.52629299  4.22632027],0.48
1585,7.2,13.22,[20.22280401 23.18433133 36.69809991  6.73499351 13.15977124],0.54
1586,6.81,11.08,[21.4191176  15.87064947 24.40694223 17.23124702 21.07204367],0.61
1587,6.72,10.91,[19.19236194 30.70211585 12.35537444 20.72502198 17.02512579],0.62
1588,6.63,9.96,[13.92387359 23.80603185 13.92387548 17.0842687  31.26195037],0.67
1589,6.45,10.17,[36.69785498 21.70458104 20.13832107 14.38138935  7.07785356],0.63
1590,7.09,11.95,[12.98826043  4.29036868 24.69319189 31.32182097 26.70635802],0.59
1591,7.12,12.56,[ 6.89867549 40.63429576 15.20356949 17.27488374 19.98857552],0.57
1592,6.51,10.32,[36.53639973 13.54233394 24.09426689 16.42427224  9.4027272 ],0.63
1593,7.09,12.92,[21.28360718 34.54438478 28.27060847  7.73060988  8.17078968],0.55
1594,6.27,8.52,[19.97283512 21.03965603  2.11017381 27.23425553 29.64307951],0.73
1595,6.91,12.22,[22.82124426 37.15998161 14.32293339 21.59941035  4.09643039],0.57
1596,6.85,11.58,[26.30344385 16.77876004 29.08793024 13.43568605 14.39417983],0.59
1597,7.04,12.11,[18.93034948 12.12476511 32.64953814 14.6307506  21.66459666],0.58
1598,7.14,13.06,[20.31448871 30.65216117 29.2209336  10.64137948  9.17103704],0.55
1599,5.78,7.6,[42.94683953 39.04797581  4.45099209  4.03977499  9.51441757],0.76
1600,6.83,11.63,[24.80778483 28.76242142 23.57515201 11.49945079 11.35519095],0.59
1601,6.03,7.55,[30.781748   12.14583963 19.00354621  4.53449272 33.53437343],0.8
1602,6.48,9.12,[14.83944006  3.92708565  5.5154268  40.03130319 35.6867443 ],0.71
1603,7.25,13.22,[16.22712157 14.24542547 21.39683853 36.93782445 11.19278999],0.55
1604,7.64,15.02,[ 9.41856849 27.36871714 38.41326916 11.5048412  13.29460401],0.51
1605,6.67,10.43,[23.70293707 13.58694888 22.67654075 17.5866965  22.44687679],0.64
1606,6.19,8.26,[25.31041481 14.55130195  5.03913224 27.64132059 27.45783041],0.75
1607,7.6,15.16,[15.2893785  29.10580823 40.64637926  8.26265222  6.69578179],0.5
1608,6.94,11.58,[10.07992496 30.5191214  11.94358039 24.74643527 22.71093798],0.6
1609,6.65,10.13,[18.90156327 16.25341229 23.88934183 10.6306736  30.32500902],0.66
1610,6.98,12.19,[27.01393433  9.95109146 27.99655941 25.24372801  9.79468679],0.57
1611,7.61,14.83,[ 0.85844671 45.37815887 26.51286466 11.00857256 16.2419572 ],0.51
1612,7.12,12.67,[17.15818194 24.48245047 24.10224606 20.66911983 13.58800171],0.56
1613,6.21,8.48,[24.73148881 25.696598    8.4006474  14.60288715 26.56837864],0.73
1614,6.62,10.5,[29.08796154 14.54631747 24.00419025 15.98493678 16.37659397],0.63
1615,7.15,12.51,[ 6.08727347 31.57892618 12.38749072 28.99003755 20.95627208],0.57
1616,7.96,16.46,[ 1.22636298 35.13891698 38.29328173 13.70893773 11.63250058],0.48
1617,7.38,13.49,[ 9.57252654 18.60526    31.84260849 18.64384256 21.3357624 ],0.55
1618,6.41,9.24,[27.4036914  11.40184171 22.55833728 11.6722058  26.9639238 ],0.69
1619,5.74,5.73,[20.44411962  9.49358687  3.90411771 13.7855916  52.3725842 ],1.0
1620,6.64,10.53,[27.58999388 15.80754195 19.73075608 21.38704471 15.48466338],0.63
1621,7.41,14.54,[20.66251394 33.28964908 38.87102946  3.67038366  3.50642387],0.51
1622,7.31,13.66,[17.25810291 21.12416293 25.13622274 28.79138201  7.6901294 ],0.54
1623,5.67,6.25,[41.60550158  3.15058423 20.36499571  1.26378637 33.6151321 ],0.91
1624,6.67,10.63,[22.45342291 21.87728438 12.35322449 26.93564138 16.38042682],0.63
1625,7.47,14.48,[21.77661983  9.78805835 39.01000273 23.56556464  5.85975445],0.52
1626,6.32,9.72,[43.8037827  15.44412148 22.66469996 13.73511669  4.35227917],0.65
1627,6.66,10.26,[21.76223939 11.34025373 18.86581158 23.78093571 24.25075959],0.65
1628,7.69,15.45,[11.226492   26.8380284  28.65718976 29.9474851   3.33080475],0.5
1629,6.61,9.62,[13.2010722  15.83512553 24.91962395  4.76088872 41.2832896 ],0.69
1630,6.69,10.5,[22.606339   12.24874965 17.34364119 27.00497184 20.79629833],0.64
1631,6.58,10.34,[25.48417916 27.74722577 18.7274649  10.78021434 17.26091583],0.64
1632,7.03,11.64,[ 3.16923321 22.77245909  8.254695   36.11038049 29.69323221],0.6
1633,6.22,8.19,[20.92595872 13.87816122  3.82626783 28.72793989 32.64167233],0.76
1634,8.44,18.71,[ 1.57407012 13.78735501 41.23774559 42.77794499  0.62288429],0.45
1635,6.78,10.79,[21.5955535   6.89977106 29.75190308 14.59307098 27.15970138],0.63
1636,6.7,11.12,[26.99637708 24.39489999 10.49918299 31.35045521  6.75908472],0.6
1637,6.95,11.79,[16.39297996 26.05660909 16.98303084 23.7305303  16.83684981],0.59
1638,5.92,6.99,[24.62701105 23.66465223  9.17315308  4.08362448 38.45155917],0.85
1639,6.55,9.82,[21.55387167 19.19079085 18.50217102 14.4291805  26.32398597],0.67
1640,6.98,11.75,[15.40040937 21.97986765 25.0260179  14.86637955 22.72732553],0.59
1641,6.63,9.99,[13.81214031 16.8953398   5.12422073 35.81476087 28.35353829],0.66
1642,5.88,7.48,[36.74285216 25.04310817  1.26379254 19.89203388 17.05821324],0.79
1643,6.63,10.69,[32.38536513  9.85381973 18.79015124 29.51697606  9.45368784],0.62
1644,6.47,9.49,[15.72943876 34.85991658 15.36887566  1.74305108 32.29871792],0.68
1645,5.72,5.9,[29.33862416  3.98976855  8.53257054 14.51571438 43.62332237],0.97
1646,6.51,10.24,[30.92743196 25.05280089 26.73173354  0.88152726 16.40650636],0.64
1647,7.21,12.77,[13.66505067 14.81401859 27.05892624 24.75968105 19.70232345],0.56
1648,7.14,12.35,[ 9.81631914 11.04134221 11.92423499 46.47568817 20.74241549],0.58
1649,7.01,11.68,[ 6.61073056 31.66824418 21.38458634  9.98309166 30.35334726],0.6
1650,5.57,5.94,[44.81445125  9.33965489 12.29853537  7.08226476 26.46509373],0.94
1651,5.87,6.47,[20.61096061 17.01656961  1.85245678 16.15993237 44.36008063],0.91
1652,7.45,14.32,[11.41382142 34.98241955 25.88702284 19.27912492  8.43761127],0.52
1653,7.16,12.36,[ 9.86397688 17.98841023 26.17675163 20.02114465 25.9497166 ],0.58
1654,6.34,9.26,[24.96053027 25.75257949  2.95481595 27.81818134 18.51389295],0.68
1655,6.05,7.9,[31.57322019 24.1289596  16.17293745  0.99998173 27.12490103],0.77
1656,7.88,15.84,[ 2.47274125 23.46261653 35.66775055 23.82227477 14.5746169 ],0.5
1657,6.77,11.44,[21.55512019 24.98559451  2.14535602 43.85520747  7.45872181],0.59
1658,7.46,14.14,[ 9.69036178 25.21729082 21.0360658  33.49252619 10.56375542],0.53
1659,5.67,6.8,[50.16871546 16.75974506 16.87855803  0.93000661 15.26297484],0.83
1660,5.66,5.54,[27.38885455  2.77796764  7.56205331 13.66837571 48.60274879],1.02
1661,6.73,10.28,[15.00622477 11.25578484 28.50589891  8.19362898 37.0384625 ],0.65
1662,7.12,12.79,[18.89407016 25.24977992 37.46838042  0.39778456 17.98998494],0.56
1663,6.53,10.43,[28.89187415 29.92087924  9.62212842 23.39887443  8.16624377],0.63
1664,6.64,10.35,[21.35527973 21.45314038 15.55918335 20.54756145 21.08483508],0.64
1665,6.77,10.8,[23.65812605  2.13490465 29.23223407 19.65752073 25.31721449],0.63
1666,6.54,9.8,[23.34150007 16.52991427 17.53133973 18.35828358 24.23896235],0.67
1667,6.56,9.6,[16.38157868 14.31058849 10.72957344 27.82153662 30.75672278],0.68
1668,7.66,14.57,[ 5.7004371   3.69013969 41.06426252 23.91593068 25.62923001],0.53
1669,7.23,12.49,[ 8.70565591  4.92359606 26.01581529 31.91014497 28.44478777],0.58
1670,7.45,14.24,[ 7.565316   40.88701169 26.55792044 11.8640801  13.12567177],0.52
1671,7.07,12.88,[23.50748396 22.14221222 14.0242683  39.63269313  0.69334239],0.55
1672,6.9,12.02,[16.48104714 40.16075588  8.06126711 25.63299994  9.66392993],0.57
1673,6.79,11.15,[22.11341153 20.76277876 19.92572814 20.38902034 16.80906123],0.61
1674,6.62,9.98,[13.01460857 28.28601453 11.49540901 16.68150311 30.52246477],0.66
1675,6.47,10.45,[45.79974176  3.32416677 30.00902764 18.0011978   2.86586604],0.62
1676,6.75,11.09,[23.64138595 21.05785357 13.03750242 29.97909494 12.28416311],0.61
1677,6.13,7.3,[10.4009837  22.43386081  9.28882533  5.08356767 52.79276249],0.84
1678,6.64,10.44,[24.23142219 12.392867   12.35626304 33.94735521 17.07209258],0.64
1679,7.07,12.18,[11.96079067 25.25538432 17.64224087 25.49996024 19.6416239 ],0.58
1680,7.13,12.28,[11.09628934 18.88719215 23.5841596  22.7698183  23.66254061],0.58
1681,7.14,12.91,[18.66937839 26.39211796 22.54394694 23.16579884  9.22875787],0.55
1682,6.77,11.04,[20.89281783 23.51052711 19.49622057 17.66865818 18.43177632],0.61
1683,7.15,12.53,[13.57358053 18.27571994 39.01094906  1.46452137 27.67522909],0.57
1684,7.62,14.52,[ 6.12844244  8.93355305 28.0047771  39.04341987 17.88980755],0.53
1685,6.2,8.35,[17.37517279 32.51488916  0.36503746 17.80677375 31.93812683],0.74
1686,6.48,10.26,[28.90038179 34.15704235  9.71502036 18.24339578  8.98415972],0.63
1687,6.82,11.31,[18.05575731 25.34836609 10.67418517 30.37195104 15.54974038],0.6
1688,6.85,11.29,[14.96095267 27.49281754 12.76145463 24.93190724 19.85286793],0.61
1689,6.85,11.53,[24.81749744 18.212028   23.45448093 20.2776452  13.23834842],0.59
1690,6.01,7.49,[26.76344477 22.48982574  6.51838789 13.2932708  30.93507079],0.8
1691,6.16,8.3,[28.80843377 15.06081376  3.98653582 29.41647134 22.7277453 ],0.74
1692,4.61,3.35,[72.47412107 10.12286763  0.74779651  3.1820688  13.47314599],1.37
1693,7.16,12.42,[13.05559898 11.36540712 32.45931993 16.89813666 26.22153731],0.58
1694,6.16,8.84,[35.70847599 29.65156189 10.47936018 12.19051812 11.97008383],0.7
1695,6.7,10.65,[24.47705106  4.1405776  13.81937387 39.96716779 17.59582968],0.63
1696,7.1,11.89,[ 7.89230762 16.1276293  33.32181987  6.96951285 35.68873036],0.6
1697,7.35,13.63,[15.40670587 12.13192133 25.59355998 35.23067569 11.63713713],0.54
1698,6.22,8.55,[30.54624914 10.74759313  9.05229169 27.91296154 21.7409045 ],0.73
1699,8.0,17.08,[15.40536    14.67022864 54.13741008 13.01143294  2.77556835],0.47
1700,6.87,12.14,[22.91193601 36.5344837   7.75185185 30.9958546   1.80587384],0.57
1701,7.55,14.53,[ 1.82251484 41.56107514 23.80104947 16.61009806 16.20526249],0.52
1702,6.65,9.41,[ 5.11111366  2.23182989  8.20752399 38.21134176 46.2381907 ],0.71
1703,7.23,13.15,[ 5.74186541 42.81974017 13.15143207 22.14564092 16.14132142],0.55
1704,6.84,10.8,[16.93958915  0.12855673 34.6283367  11.86448439 36.43903304],0.63
1705,6.35,9.3,[28.4954424  24.67467079 14.86243857 12.40574463 19.56170361],0.68
1706,6.77,10.72,[16.17197361 20.0371235  19.08857122 18.37268701 26.32964466],0.63
1707,6.25,9.1,[37.22144425 18.79077488 14.0804404  18.53139361 11.37594686],0.69
1708,6.99,12.59,[25.7957467  32.9289939  26.66232625  9.9386664   4.67426675],0.55
1709,6.33,9.53,[35.73058542 24.34330596 20.01891924  7.53793534 12.36925404],0.66
1710,6.15,8.08,[30.72864462  7.50506433 24.69504066  3.44417106 33.62707933],0.76
1711,6.46,9.81,[23.88090705 32.72910764 14.14794558  9.17063607 20.07140366],0.66
1712,7.04,11.61,[ 6.53314945 20.76524147 28.49100328  8.28145118 35.92915462],0.61
1713,6.46,9.99,[38.96159827  2.39927203 30.95119944 13.07574186 14.6121884 ],0.65
1714,7.8,15.69,[ 5.70189043 26.68792695 38.19628614 16.53310123 12.88079525],0.5
1715,5.68,6.47,[34.83908181 28.63265072  6.1698285   1.45699652 28.90144244],0.88
1716,7.1,12.61,[16.98693749 25.94399579 20.54947325 24.23558112 12.28401236],0.56
1717,7.21,12.78,[13.03467912 15.75889836 25.90839426 25.64279704 19.65523122],0.56
1718,6.9,11.41,[15.30546475 23.20055576 19.26147106 20.04272283 22.18978561],0.6
1719,5.45,5.36,[44.03466793  5.2865781   3.21229504 19.31196852 28.15449042],1.02
1720,6.2,8.61,[30.02124866 25.01051788 19.45427271  0.21254425 25.3014165 ],0.72
1721,7.12,12.0,[ 9.42803848  9.32022535 25.2754818  26.17291454 29.80333982],0.59
1722,6.39,10.28,[34.21501302 43.82088941 14.90388771  2.48852134  4.57168852],0.62
1723,6.12,6.81,[ 3.06073931 16.55680486 10.61828764  3.09815084 66.66601734],0.9
1724,7.01,11.86,[17.83337345  5.52845622 22.2291755  33.97568747 20.43330735],0.59
1725,6.61,9.96,[10.95209285 31.31981447  8.95455491 17.22808399 31.54545378],0.66
1726,7.79,15.45,[ 9.78404496  3.09072482 39.50780947 33.38320476 14.23421598],0.5
1727,7.01,12.69,[27.10293233 29.66672142 32.89574188  4.08206313  6.25254124],0.55
1728,6.58,10.39,[27.5574806  23.75892983 20.54174176 12.23014549 15.91170232],0.63
