,port_rets,port_vols,weights,sharpe_ratio
354,6.39,9.6,[36.34037468  3.56371233 35.65182172  1.20911317 23.2349781 ],0.67
355,6.6,9.67,[13.84055049 18.8524093  18.70965436 12.25188528 36.34550056],0.68
356,7.28,14.08,[24.0015071  34.18020109 37.06197088  2.93033724  1.82598369],0.52
357,6.53,10.19,[28.29357132 24.98820948 17.25204146 14.8109869  14.65519084],0.64
358,6.54,9.81,[19.25872729 27.51233171 17.78788368  7.70211102 27.7389463 ],0.67
359,6.9,11.14,[10.66232868 22.73737162 21.58227582 14.39946545 30.61855843],0.62
360,7.04,12.37,[23.45441801 11.46955785 23.65068982 31.21061959 10.21471473],0.57
361,6.6,10.19,[16.27147061 35.13669362 12.09103759 11.56833561 24.93246257],0.65
362,6.72,10.91,[18.40831015 31.67590625 11.67536259 20.67678762 17.56363339],0.62
363,6.56,10.07,[29.44247052  5.60187479 28.07327407 14.24448569 22.63789492],0.65
364,7.16,13.28,[17.67085677 30.91770472  9.95447377 39.76930691  1.68765782],0.54
365,6.78,11.2,[26.86638415 15.32772527 23.62742451 20.47417279 13.70429328],0.6
366,6.58,9.21,[ 5.75082504  3.0266011   3.51621553 42.76686411 44.93949422],0.71
367,6.78,11.18,[29.26618444  2.1669342  33.76346663 16.02822153 18.77519319],0.61
368,6.37,9.12,[25.30395116 20.23116588 13.87924651 16.02279682 24.56283963],0.7
369,6.82,11.23,[ 8.09538838 43.56753093  5.77338121 19.10958207 23.45411741],0.61
370,6.64,9.84,[ 8.69615819 28.9344148  14.41398392 10.1544342  37.80100889],0.67
371,5.71,6.44,[40.29208744  8.19138006  7.03073264 19.20096427 25.28483559],0.89
372,6.35,9.03,[27.83442851  9.48764676 12.59476744 26.81856789 23.26458939],0.7
373,7.13,13.12,[26.72902    17.32465006 30.56439322 21.44287498  3.93906174],0.54
374,7.37,13.18,[ 1.77430332 25.63428515 37.03092728  1.07246296 34.48802129],0.56
375,6.33,9.22,[35.27177888  5.85606858 28.46606047  7.99763379 22.40845827],0.69
376,7.34,13.23,[ 6.10382794 24.66797246 37.78450677  1.75673321 29.68695963],0.55
377,6.82,11.82,[32.18530118 21.94117417 29.50367103 10.80781646  5.56203716],0.58
378,6.63,10.51,[21.72646495 29.99610737 15.92132335 13.66360131 18.69250301],0.63
379,7.04,11.91,[11.40816551 22.56411577 19.16854394 23.65622153 23.20295325],0.59
380,7.04,12.45,[20.8999267  24.87328122 23.92397597 19.63690799 10.66590811],0.57
381,6.59,10.19,[19.23222682 24.12710005  5.11004461 31.78974781 19.74088071],0.65
382,5.99,7.25,[30.60249523  4.003012   20.55763597  6.65915645 38.17770035],0.83
383,7.31,12.55,[ 2.42065026  7.83000684 30.98151011 21.53883956 37.22899322],0.58
384,7.25,13.34,[23.19145759  3.44034908 35.45589019 26.69253427 11.21976888],0.54
385,7.7,14.63,[ 2.35515547  5.91559997 37.78233089 27.08721426 26.85969941],0.53
386,6.62,9.77,[12.03413175  5.16820787  3.34200195 46.0285571  33.42710133],0.68
387,8.14,17.26,[ 3.62805012 16.7379589  34.20963582 41.36568671  4.05866845],0.47
388,7.53,14.66,[ 9.63572854 37.55681512 35.47896263  4.43981377 12.88867993],0.51
389,7.29,13.18,[12.65048472 15.95788348 27.16158995 26.29238155 17.9376603 ],0.55
390,6.36,8.92,[25.25181117 13.98884922 18.8048167  12.59432226 29.36020065],0.71
391,7.38,13.92,[12.43806227 29.11004383 21.77723507 27.98173299  8.69292584],0.53
392,7.31,13.64,[ 4.08982397 47.41258753 11.95698826 22.81758367 13.72301658],0.54
393,7.22,12.6,[ 1.61453812 35.05795554 22.59783168 10.85440492 29.87526974],0.57
394,6.24,9.0,[37.94635808 10.13484103 12.88729407 27.01312695 12.01837987],0.69
395,6.7,10.85,[26.80065243 19.74194787 24.70940494 12.57340174 16.17459302],0.62
396,7.03,12.42,[26.46513889  7.74043958 29.6502807  26.08996261 10.05417822],0.57
397,6.94,11.17,[10.53439    15.73412064 28.68189522  9.84353094 35.2060632 ],0.62
398,7.21,11.87,[ 0.44532115  2.91978938 33.11173069 17.21706436 46.30609443],0.61
399,6.88,11.38,[20.18414056 13.22406094 20.60103915 27.07567634 18.91508301],0.6
400,6.42,9.29,[27.85241274  8.59835854 27.75136766  6.27273013 29.52513093],0.69
401,6.96,12.17,[20.86310571 29.52803422 18.77091212 21.2885052   9.54944274],0.57
402,6.14,8.24,[36.10924259  0.48007666 12.50386097 29.87075371 21.03606607],0.74
403,6.65,10.48,[22.4743436  24.64137053 21.02898371 10.61164971 21.24365246],0.63
404,6.91,11.37,[14.48366016 23.26479618 26.39467098  8.75261252 27.10426016],0.61
405,7.08,12.63,[22.02258555 15.86772463 20.21542754 34.14354774  7.75071454],0.56
406,6.58,9.97,[16.93022897 27.7965117  14.74387979 12.83756012 27.69181942],0.66
407,7.88,15.99,[ 8.47973843  9.2804553  37.17181029 35.28987113  9.77812485],0.49
408,6.88,11.75,[26.11339066 17.44328455 26.56823672 17.92119359 11.95389447],0.59
409,7.39,14.28,[ 9.62787081 36.91993694  6.09045794 45.48317777  1.87855654],0.52
410,6.96,12.01,[12.11981592 33.82994964  4.56195522 35.49007501 13.99820421],0.58
411,7.11,12.51,[17.53667687 19.0141832  25.68233247 21.9552063  15.81160117],0.57
412,6.4,9.19,[26.70845381 12.41868321 17.29099262 18.39910841 25.18276196],0.7
413,7.23,13.37,[22.33473366  8.57735068 21.32026322 43.5630771   4.20457534],0.54
414,5.88,6.98,[27.33647707 25.91190077 10.64883117  0.08042493 36.02236606],0.84
415,5.91,7.63,[37.06585781 28.55576103 11.35007149  3.12671697 19.90159269],0.78
416,6.05,8.26,[33.97520349 28.67963322  2.83125711 19.68536269 14.82854349],0.73
417,6.05,6.78,[10.80429602 11.84930036  5.40948863 16.25832052 55.67859448],0.89
418,6.76,11.45,[27.74444525 26.70556183 16.21880598 23.46105772  5.87012923],0.59
419,6.34,10.0,[43.21384323 24.43755321 24.02901279  5.62513711  2.69445366],0.63
420,7.33,13.61,[14.41482485 25.25987184 33.63740642 11.63004329 15.05785359],0.54
421,6.98,12.22,[21.30678947 29.11098782 30.87321845  3.6225086  15.08649565],0.57
422,6.55,9.93,[22.48053834 20.01692409 13.25514045 22.46626904 21.78112808],0.66
423,7.74,15.55,[ 9.43498154 23.50478063 32.37172499 27.67979755  7.00871528],0.5
424,7.37,13.62,[ 5.68929653 21.19145876  9.61227612 49.11465957 14.39230902],0.54
425,6.56,10.69,[31.19505578 26.17557417  7.45252412 31.7911287   3.38571723],0.61
426,5.94,7.33,[25.12975764 31.14370947  3.72826252  7.87405331 32.12421706],0.81
427,6.95,12.31,[29.35734515 19.78740605 33.93486238  8.86031123  8.06007518],0.56
428,6.71,10.53,[20.28681502 17.44632076 23.68222738 12.95893402 25.62570282],0.64
429,6.2,8.44,[30.27368357 14.35430844 11.31684522 20.79429564 23.26086713],0.73
430,6.62,10.32,[12.5614903  37.88736859  3.14794514 22.30368451 24.09951146],0.64
431,7.13,12.37,[10.09671475 24.67845319 20.29500843 23.12989197 21.79993166],0.58
432,5.89,7.76,[39.27422788 31.66242655  4.13899414 12.22058956 12.70376186],0.76
433,6.59,9.85,[21.99592928  9.43822792 26.78683718 10.38276605 31.39623958],0.67
434,6.63,10.2,[22.72024129 12.01389187 18.83931434 22.97276671 23.45378579],0.65
435,7.36,14.35,[10.30457598 55.38477353 20.42230866  8.86491442  5.02342741],0.51
436,6.94,12.2,[18.99644109 41.59069877 25.25437879  0.47083705 13.6876443 ],0.57
437,6.86,11.65,[18.84381971 29.73638072 10.6058524  29.04896563 11.76498154],0.59
438,6.9,11.82,[28.23652542  7.66557261 36.27002376 11.92568922 15.90218898],0.58
439,6.99,12.64,[21.68717721 35.04676502  9.7173407  32.75634882  0.79236825],0.55
440,7.09,12.97,[27.37250447 17.18929151 23.00961515 31.92249405  0.50609483],0.55
441,7.07,12.3,[20.17397483 11.4541562  34.74441349 13.41305721 20.21439827],0.57
442,6.66,10.51,[24.71775767 13.21232051 15.39962269 29.39767844 17.27262069],0.63
443,6.92,11.94,[ 9.10034672 48.19067111  7.73302973 17.13436401 17.84158843],0.58
444,6.98,11.28,[ 0.87018021 22.11518197  4.91272931 38.5974141  33.5044944 ],0.62
445,6.25,9.0,[27.67271613 31.52437306  5.89967371 17.05752359 17.8457135 ],0.69
446,6.59,10.95,[38.68321124 20.76933942 25.26155966 13.15168739  2.13420229],0.6
447,6.7,10.55,[22.48723503 14.75839324 22.33173435 17.77251358 22.65012379],0.63
448,5.99,8.3,[43.67847657 27.29132379 17.28078229  1.1780164  10.57140095],0.72
449,5.43,6.27,[59.35157952 22.80640668 11.41870814  1.07666798  5.34663767],0.87
450,6.79,11.3,[27.19523954 13.35698999 21.53301774 26.00524165 11.90951107],0.6
451,6.16,8.49,[30.93661502 26.9911438  17.62360075  0.47136166 23.97727877],0.73
452,6.91,11.52,[18.65003651 18.31978082 26.20009432 15.06716616 21.76292218],0.6
453,6.62,10.71,[24.38090843 30.03707884  8.47335824 26.16821761 10.94043688],0.62
454,6.28,9.03,[38.15098877  1.28790873 30.41871071  7.64887148 22.49352031],0.7
455,5.84,7.65,[43.99154888 23.82293519  0.49101647 24.33104918  7.36345028],0.76
456,6.82,10.45,[ 9.40855686  9.65461047 17.44617136 26.78434091 36.70632041],0.65
457,6.56,10.94,[36.37123153 33.15684794 23.66886144  4.1181867   2.68487239],0.6
458,6.29,9.27,[30.47534412 25.28977046  2.65635606 29.44517324 12.13335612],0.68
459,6.32,9.03,[34.24855102  2.49036758 25.14906066 14.55584573 23.55617502],0.7
460,7.24,13.3,[15.14056325 29.25756096 23.11199798 22.01744443 10.47243337],0.54
461,6.85,12.3,[26.81316351 46.2883853  23.0700073   1.23029748  2.59814641],0.56
462,6.73,10.97,[21.14388259 22.2472842   8.92334861 33.62134907 14.06413553],0.61
463,7.24,13.27,[17.00691665 23.76537135 25.1130802  23.88633309 10.22829871],0.55
464,6.64,10.4,[22.21716265 23.81844375 24.4036814   5.55470048 24.00601173],0.64
465,6.13,8.21,[30.38508379 23.40792047 17.64406317  1.54332998 27.01960258],0.75
466,6.74,10.91,[22.12841115 22.77238141 18.55671158 18.96043497 17.5820609 ],0.62
467,7.36,12.93,[ 1.62646933 15.53099901 30.42862542 18.44724811 33.96665813],0.57
468,7.49,13.8,[ 1.98878852 11.87795003 15.48799555 49.27350708 21.37175882],0.54
469,6.55,9.78,[20.88324217 12.87133013 12.20787971 28.76367113 25.27387685],0.67
470,7.03,12.13,[18.05354417 18.09215962 22.01736547 25.73387363 16.10305711],0.58
471,6.49,9.85,[27.30907681 19.51308135 15.18310973 20.14593973 17.84879238],0.66
472,6.11,8.36,[31.56797521 23.97188501  3.01712732 23.94493398 17.49807847],0.73
473,5.8,6.64,[35.45922449  9.5796471   9.97188475 14.4501434  30.53910026],0.87
474,6.62,10.08,[19.19841545 19.16039516 20.67849176 12.66703408 28.29566355],0.66
475,7.81,15.84,[10.74531543  9.30864773 28.88658882 46.82699629  4.23245173],0.49
476,6.17,8.84,[31.58353055 32.17581084  3.7653707  18.92686593 13.54842199],0.7
477,7.42,13.99,[ 9.63262985 32.48667603 32.9550141   8.26979828 16.65588174],0.53
478,6.59,9.37,[ 9.83781828 15.81845018 22.75303277  5.76554602 45.82515275],0.7
479,7.07,12.58,[20.93051847 22.03023836 25.57722304 20.46290161 10.99911852],0.56
480,6.88,11.65,[20.86798318 23.72622346 17.52289077 24.58019787 13.30270472],0.59
481,6.61,10.34,[25.48281601 15.56059864 13.4618348  29.18915812 16.30559243],0.64
482,6.93,12.33,[36.51613691  0.36252418 30.26608692 31.87481122  0.98044077],0.56
483,6.53,9.72,[19.72567787  5.59886042  3.90362466 45.71466687 25.05717018],0.67
484,7.15,12.85,[18.36932319 22.90926471 26.18569851 20.31602706 12.21968653],0.56
485,7.35,13.88,[14.80200423 25.91309358 18.94958364 34.84494331  5.49037524],0.53
486,6.41,10.04,[31.0245609  31.19355047  4.63971801 26.87363787  6.26853275],0.64
487,5.97,7.86,[44.88365314  4.91219439 22.76193571  9.19263108 18.24958568],0.76
488,7.33,13.29,[ 7.00571967 27.85012116 28.32769397 14.20969068 22.60677453],0.55
489,6.52,9.96,[22.08226351 24.44433737  6.88000642 27.8722205  18.7211722 ],0.65
490,8.3,18.02,[ 5.90621776  2.84198638 43.50905417 44.37789362  3.36484808],0.46
491,6.48,10.33,[31.66634423 35.15126209 21.18058214  1.01562983 10.9861817 ],0.63
492,6.82,10.93,[ 8.80957928 35.47467104 22.03936158  0.44092745 33.23546066],0.62
493,6.9,11.67,[22.19309317 18.61635486 23.75055129 20.09206069 15.34793999],0.59
494,6.59,10.83,[30.64897433 32.9987117  16.4885732  13.62957294  6.23416783],0.61
