Date,Mkt-RF,SMB,HML,RF,Mkt
19700528,0.0263,0.01,-0.0118,0.00025,0.02655
19700529,0.027,0.0013,-0.0128,0.00025,0.02725
19700601,0.0183,0.0105,-0.0165,0.00026,0.01856
19700602,0.0012,0.0057,-0.004,0.00026,0.00146
19700603,0.0111,0.0088,-0.0084,0.00026,0.01136
19700604,-0.0158,-0.0027,0.0133,0.00026,-0.01554
19700605,-0.017,-0.0033,0.0034,0.00026,-0.01674
19700608,0.001,-0.0001,0.0015,0.00026,0.00126
19700609,0.0001,-0.0003,-0.0048,0.00026,0.00036
19700610,-0.0103,0.0001,0.0021,0.00026,-0.01004
19700611,-0.0142,-0.0023,0.0098,0.00026,-0.01394
19700612,-0.0042,-0.003,-0.0025,0.00026,-0.00394
19700615,0.003,0.0013,-0.0049,0.00026,0.00326
19700616,0.0228,-0.0049,-0.0121,0.00026,0.02306
19700617,-0.0027,-0.0013,0.0054,0.00026,-0.00244
19700618,0.0056,-0.0035,-0.007,0.00026,0.00586
19700619,0.0066,-0.0018,-0.0005,0.00026,0.00686
19700622,-0.0067,-0.0012,0.0011,0.00026,-0.00644
19700623,-0.0249,0.0001,0.0114,0.00026,-0.02464
19700624,-0.0115,-0.008,0.0058,0.00026,-0.01124
19700625,-0.0005,-0.0057,-0.0009,0.00026,-0.00024
19700626,-0.0082,-0.0019,0.0041,0.00026,-0.00794
19700629,-0.0087,-0.0035,0.0023,0.00026,-0.00844
19700630,-0.003,-0.0052,0.0054,0.00026,-0.00274
19700701,0.0033,-0.0054,-0.0028,0.00024,0.00354
19700702,-0.0026,-0.0047,0.0054,0.00024,-0.00236
19700706,-0.0158,-0.0029,0.008,0.00024,-0.01556
19700707,-0.0087,-0.0035,0.0014,0.00024,-0.00846
19700708,0.0238,-0.0065,-0.013,0.00024,0.02404
19700709,0.0161,0.0015,-0.0001,0.00024,0.01634
19700710,0.0071,0.0002,0.0017,0.00024,0.00734
19700713,-0.0007,0.0019,0.0075,0.00024,-0.00046
19700714,-0.0015,-0.0011,-0.0021,0.00024,-0.00126
19700715,0.0098,-0.0033,-0.0023,0.00024,0.01004
19700716,0.0133,-0.0028,0.0011,0.00024,0.01354
19700717,0.0167,-0.0007,0.0004,0.00024,0.01694
19700720,0.0013,0.0028,0.0041,0.00024,0.00154
19700721,-0.0101,0.0002,0.003,0.00024,-0.00986
19700722,0.0012,0.0048,0.0012,0.00024,0.00144
19700723,0.0122,-0.0038,-0.0025,0.00024,0.01244
19700724,-0.0023,0.0059,-0.0019,0.00024,-0.00206
19700727,-0.0019,0.0032,0.002,0.00024,-0.00166
19700728,0.0026,0.0024,-0.0033,0.00024,0.00284
19700729,0.0037,0.0044,-0.0032,0.00024,0.00394
19700730,0.0006,0.0016,-0.0014,0.00024,0.00084
19700731,-0.0006,0.0012,0.0048,0.00024,-0.00036
19700803,-0.0122,0.002,0.0051,0.00025,-0.01195
19700804,0.0017,-0.0026,-0.0017,0.00025,0.00195
19700805,-0.0008,-0.0007,0.0021,0.00025,-0.00055
19700806,-0.0018,-0.0042,0.0048,0.00025,-0.00155
19700807,0.0026,-0.0021,0.0043,0.00025,0.00285
19700810,-0.0144,0.0002,0.0042,0.00025,-0.01415
19700811,-0.0057,-0.0023,0.0037,0.00025,-0.00545
19700812,-0.0049,0.0011,0.0064,0.00025,-0.00465
19700813,-0.009,0.0008,0.0074,0.00025,-0.00875
19700814,0.0041,-0.0033,0.001,0.00025,0.00435
19700817,0.0017,-0.0024,-0.0051,0.00025,0.00195
19700818,0.0106,-0.0051,-0.0019,0.00025,0.01085
19700819,0.009,-0.0053,0.004,0.00025,0.00925
19700820,0.0075,-0.0074,-0.0001,0.00025,0.00775
19700821,0.0209,-0.0013,-0.0016,0.00025,0.02115
19700824,0.0234,0.0066,-0.0139,0.00025,0.02365
19700825,0.0038,0.0097,-0.0079,0.00025,0.00405
19700826,0.0031,0.0092,-0.0004,0.00025,0.00335
19700827,-0.0012,0.0078,-0.0005,0.00025,-0.00095
19700828,0.0099,0.0069,-0.0019,0.00025,0.01015
19700831,-0.0035,0.0069,0.0027,0.00025,-0.00325
19700901,-0.0064,0.0003,0.0027,0.00025,-0.00615
19700902,-0.0002,0.0039,-0.0041,0.00025,0.00005
19700903,0.0146,0.0019,-0.0091,0.00025,0.01485
19700904,0.0107,0.0071,0.0003,0.00025,0.01095
19700908,0.0036,0.0068,-0.0066,0.00025,0.00385
19700909,-0.003,0.0026,-0.002,0.00025,-0.00275
19700910,-0.0058,0.0033,0.0022,0.00025,-0.00555
19700911,0.0035,0.01,-0.0033,0.00025,0.00375
19700914,-0.0051,0.001,0.002,0.00025,-0.00485
19700915,-0.0098,-0.003,-0.0012,0.00025,-0.00955
19700916,0.0057,0.0041,-0.0064,0.00025,0.00595
19700917,0.008,0.0074,-0.0066,0.00025,0.00825
19700918,0.0044,0.0059,0.0003,0.00025,0.00465
19700921,-0.0084,-0.0014,0.0033,0.00025,-0.00815
19700922,-0.0036,-0.001,-0.0002,0.00025,-0.00335
19700923,0.0135,0.0022,-0.006,0.00025,0.01375
19700924,0.0143,0.0137,-0.0136,0.00025,0.01455
19700925,0.0017,0.0013,0.0004,0.00025,0.00195
19700928,-0.0006,0.0066,-0.0055,0.00025,-0.00035
19700929,0.0058,0.0077,-0.0001,0.00025,0.00605
19700930,-0.0012,-0.0002,0.0031,0.00025,-0.00095
19701001,0.0012,-0.0024,-0.0011,0.00021,0.00141
19701002,0.0105,0.0039,-0.0036,0.00021,0.01071
19701005,0.0144,-0.0015,0.0003,0.00021,0.01461
19701006,0.0023,-0.0084,0.009,0.00021,0.00251
19701007,-0.0003,0.002,0.0012,0.00021,-0.00009
19701008,-0.0115,-0.0037,0.0046,0.00021,-0.01129
19701009,-0.0097,0.0028,0.0009,0.00021,-0.00949
19701012,-0.0098,0.0002,0.0044,0.00021,-0.00959
19701013,-0.0026,0.0008,-0.0036,0.00021,-0.00239
19701014,0.0013,-0.0017,-0.0001,0.00021,0.00151
19701015,0.0041,-0.0048,0.0023,0.00021,0.00431
19701016,-0.006,-0.0061,0.0061,0.00021,-0.00579
19701019,-0.0141,-0.0047,0.006,0.00021,-0.01389
19701020,0.0057,-0.0036,-0.0107,0.00021,0.00591
19701021,-0.0008,-0.0027,0.0013,0.00021,-0.00059
19701022,-0.0043,-0.003,0.0012,0.00021,-0.00409
19701023,0.0049,0.0014,-0.0055,0.00021,0.00511
19701026,-0.0053,0.0016,-0.0009,0.00021,-0.00509
19701027,-0.003,-0.0032,-0.0019,0.00021,-0.00279
19701028,0.0032,-0.0034,-0.0082,0.00021,0.00341
19701029,-0.0018,-0.0039,0.0024,0.00021,-0.00159
19701030,-0.0007,-0.0029,-0.0014,0.00021,-0.00049
19701102,0.0032,-0.0007,-0.0019,0.00023,0.00343
19701103,0.0085,0.0029,0.0034,0.00023,0.00873
